Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genres,Country,Language,Runtime,Genres,,,,,,,
Getaway,2013,13+,4.4,2%,0,1,0,0,0,"Action,Crime,Thriller",United States,"English,Spanish",123,Action,Crime,Thriller,,,,,
Strange Wilderness,2008,18+,5.3,2%,0,0,1,0,0,"Adventure,Comedy",United States,English,87,Adventure,Comedy,,,,,,
Kickin' It Old Skool,2007,13+,4.6,2%,0,0,1,0,0,Comedy,"United States,Canada",English,108,Comedy,,,,,,,
Zoom,2006,7+,4.4,3%,1,0,0,0,0,"Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",United States,English,93,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi,,
Bless the Child,2000,18+,5.1,3%,0,0,1,0,0,"Crime,Drama,Horror,Thriller","United States,Germany",English,107,Crime,Drama,Horror,Thriller,,,,
The Darkness,2016,13+,4.4,3%,0,0,1,0,0,"Horror,Mystery,Thriller","Spain,United States,France,Italy","English,French",101,Horror,Mystery,Thriller,,,,,
Passion Play,2011,18+,4.6,3%,0,0,1,0,0,"Drama,Fantasy,Romance",United States,English,94,Drama,Fantasy,Romance,,,,,
The Roommate,2011,13+,4.8,4%,1,0,0,0,0,"Drama,Mystery,Thriller",United States,English,91,Drama,Mystery,Thriller,,,,,
Beneath the Darkness,2012,18+,4.5,4%,0,1,1,0,0,"Horror,Sci-Fi",United States,English,80,Horror,Sci-Fi,,,,,,
A Little Bit of Heaven,2011,13+,6.3,4%,0,0,1,0,0,"Comedy,Drama,Fantasy,Romance",United States,English,106,Comedy,Drama,Fantasy,Romance,,,,
Bio-Dome,1996,13+,4.5,4%,0,0,1,0,0,Comedy,United States,English,88,Comedy,,,,,,,
Atlas Shrugged: Part II,2012,13+,5.4,4%,0,0,1,0,0,"Drama,Mystery,Sci-Fi",United States,English,111,Drama,Mystery,Sci-Fi,,,,,
The Celestine Prophecy,2006,7+,4.9,4%,0,0,1,0,0,"Adventure,Drama",United States,English,99,Adventure,Drama,,,,,,
Happily N'Ever After,2006,7+,4.5,4%,0,0,1,0,0,"Animation,Adventure,Comedy,Family,Fantasy","United States,Germany,Canada,United Kingdom",English,75,Animation,Adventure,Comedy,Family,Fantasy,,,
Just Getting Started,2017,13+,4.4,4%,0,0,1,0,0,"Comedy,Crime",United States,English,91,Comedy,Crime,,,,,,
BloodRayne,2005,18+,2.9,4%,0,0,1,0,0,"Action,Adventure,Fantasy,Horror","Germany,United States",English,95,Action,Adventure,Fantasy,Horror,,,,
Major League II,1994,7+,5.6,5%,1,1,0,0,0,"Comedy,Sport",United States,English,105,Comedy,Sport,,,,,,
Hangman,2017,18+,5.2,5%,1,0,1,0,0,"Crime,Drama,Mystery,Thriller",United States,English,98,Crime,Drama,Mystery,Thriller,,,,
The Last Airbender,2010,7+,4.1,5%,1,0,0,0,0,"Action,Adventure,Family,Fantasy",United States,English,103,Action,Adventure,Family,Fantasy,,,,
Jacob's Ladder,2019,18+,3.4,5%,1,0,1,0,0,"Drama,Horror,Mystery",United States,English,113,Drama,Horror,Mystery,,,,,
Abduction,2011,13+,5.1,5%,0,1,1,0,0,"Action,Mystery,Thriller",United States,English,106,Action,Mystery,Thriller,,,,,
"I, Frankenstein",2014,13+,5.1,5%,0,1,1,0,0,"Action,Fantasy,Sci-Fi","United States,Australia",English,92,Action,Fantasy,Sci-Fi,,,,,
Hick,2011,18+,5.6,5%,0,0,1,0,0,"Comedy,Drama",United States,English,99,Comedy,Drama,,,,,,
Home Sweet Hell,2015,18+,5.4,5%,0,0,1,0,0,"Comedy,Crime,Thriller",United States,"English,French",98,Comedy,Crime,Thriller,,,,,
Maladies,2013,16+,5.2,5%,0,0,1,0,0,Drama,United States,English,96,Drama,,,,,,,
A Kid in King Arthur's Court,1995,7+,4.7,5%,0,0,0,1,0,"Adventure,Comedy,Family,Fantasy,Romance","United States,Hungary,United Kingdom",English,89,Adventure,Comedy,Family,Fantasy,Romance,,,
Dream House,2011,13+,6,6%,1,0,0,0,0,"Drama,Mystery,Thriller","United States,Canada",English,84,Drama,Mystery,Thriller,,,,,
"Yours, Mine & Ours",2005,7+,5.5,6%,1,0,1,0,0,"Comedy,Family,Fantasy,Romance",United States,English,88,Comedy,Family,Fantasy,Romance,,,,
Some Kind of Beautiful,2015,18+,5.7,6%,1,0,0,0,0,"Comedy,Romance","United States,United Kingdom",English,99,Comedy,Romance,,,,,,
The Devil Inside,2012,18+,4.2,6%,1,0,0,0,0,Horror,United States,"English,German,Italian",83,Horror,,,,,,,
The Last Thing He Wanted,2020,18+,4.2,6%,1,0,0,0,0,"Crime,Drama,Mystery,Thriller",United States,"English,Spanish,French",115,Crime,Drama,Mystery,Thriller,,,,
I'm in Love with a Church Girl,2013,7+,4.4,6%,1,0,0,0,0,"Crime,Drama,Romance",United States,English,118,Crime,Drama,Romance,,,,,
So Undercover,2012,13+,5,6%,0,0,1,0,0,"Action,Comedy,Crime,Drama",United States,English,94,Action,Comedy,Crime,Drama,,,,
Slender Man,2018,13+,3.2,6%,0,0,1,0,0,"Horror,Mystery,Thriller",United States,English,93,Horror,Mystery,Thriller,,,,,
Standing Ovation,2010,7+,3.2,6%,0,0,1,0,0,Musical,United States,English,105,Musical,,,,,,,
Kazaam,1996,7+,3,6%,0,0,0,1,0,"Comedy,Family,Fantasy,Musical",United States,English,93,Comedy,Family,Fantasy,Musical,,,,
The Black Prince,2017,13+,6.6,7%,1,0,0,0,0,"Drama,History","United Kingdom,India,United States","English,Punjabi",118,Drama,History,,,,,,
The Big Wedding,2013,18+,5.6,7%,0,1,1,0,0,"Comedy,Drama,Romance",United States,"English,Spanish,Chinese,Latin",89,Comedy,Drama,Romance,,,,,
CBGB,2013,18+,6.6,7%,0,0,1,0,0,"Drama,Music",United States,English,102,Drama,Music,,,,,,
Holy Water,2009,18+,5.9,7%,0,0,1,0,0,"Comedy,Crime",Ireland,English,94,Comedy,Crime,,,,,,
Teen Wolf Too,1987,7+,3.4,7%,0,0,1,0,0,"Comedy,Fantasy",United States,English,95,Comedy,Fantasy,,,,,,
All's Faire in Love,2009,13+,5,7%,0,0,1,0,0,Comedy,United States,English,104,Comedy,,,,,,,
The Incredible Melting Man,1977,18+,4.2,7%,0,0,1,0,0,"Horror,Sci-Fi",United States,English,84,Horror,Sci-Fi,,,,,,
Sister Act 2: Back in the Habit,1993,7+,5.6,7%,0,0,0,1,0,"Comedy,Family,Music",United States,English,107,Comedy,Family,Music,,,,,
Meet the Deedles,1998,7+,4.1,7%,0,0,0,1,0,"Comedy,Family",United States,English,93,Comedy,Family,,,,,,
It Takes Two,1995,7+,5.9,8%,1,0,1,0,0,"Comedy,Family,Romance",United States,English,101,Comedy,Family,Romance,,,,,
The Last Face,2016,18+,4.9,8%,1,0,0,0,0,"Drama,Romance",United States,English,130,Drama,Romance,,,,,,
I Still See You,2018,13+,5.8,8%,0,1,1,0,0,"Fantasy,Horror,Sci-Fi,Thriller",United States,English,98,Fantasy,Horror,Sci-Fi,Thriller,,,,
Bangkok Dangerous,2008,18+,5.4,8%,0,1,0,0,0,"Action,Crime,Thriller","United States,Czech Republic,Thailand","English,Thai",99,Action,Crime,Thriller,,,,,
The Reunion,2011,13+,5.2,8%,0,1,1,0,0,Comedy,"United Kingdom,United States",English,94,Comedy,,,,,,,
House II: The Second Story,1987,13+,5.4,8%,0,0,1,0,0,"Comedy,Fantasy,Horror",United States,English,88,Comedy,Fantasy,Horror,,,,,
Are You Here,2013,18+,5.3,8%,0,0,1,0,0,"Comedy,Drama",United States,English,114,Comedy,Drama,,,,,,
My Boss's Daughter,2003,13+,4.7,8%,0,0,1,0,0,"Comedy,Romance",United States,English,86,Comedy,Romance,,,,,,
